text,label
You are a lucky winner! Receive a bonus reward by claiming now.,spam
Your presentation has been reviewed and needs a few changes.,normal
The meeting notes deadline has been moved to 5 PM.,normal
The internship form meeting is scheduled for tomorrow.,normal
You have been chosen to receive a laptop. Act now.,spam
Your assignment submission was received successfully.,normal
The research draft meeting is scheduled for next week.,normal
The meeting notes meeting is scheduled for 5 PM.,normal
Let's discuss the coursework during today's meeting.,normal
The meeting notes deadline has been moved to tomorrow.,normal
Exclusive offer! Get your free gift voucher before the offer expires.,spam
Please check the latest update regarding the lab record.,normal
Please submit the research draft before next week.,normal
FREE bonus reward! Click the link to receive your reward.,spam
Exclusive offer! Get your free laptop before the offer expires.,spam
Your prize is waiting. Claim the free iPhone immediately.,spam
Please check the latest update regarding the project report.,normal
You have been chosen to receive a cash prize. Act now.,spam
The lab record deadline has been moved to Monday.,normal
You are a lucky winner! Receive a holiday package by claiming now.,spam
Please submit the internship form before 5 PM.,normal
The internship form deadline has been moved to tomorrow.,normal
Your assignment has been reviewed and needs a few changes.,normal
The coursework meeting is scheduled for Friday.,normal
Special promotion: win a iPhone and get bonus cash.,spam
Your lab record has been reviewed and needs a few changes.,normal
I attached the assignment for your review.,normal
The lab record meeting is scheduled for Friday.,normal
Exclusive offer! Get your free cash prize before the offer expires.,spam
Congratulations! You have won a free gift voucher. Claim your prize now.,spam
URGENT: Your account has been selected for a free cash prize. Claim now.,spam
You are a lucky winner! Receive a cash prize by claiming now.,spam
Win a cash prize today! Click here to claim your reward.,spam
Congratulations! You have won a free laptop. Claim your prize now.,spam
Please submit the internship form before the end of the day.,normal
Your research draft submission was received successfully.,normal
Please check the latest update regarding the meeting notes.,normal
Please attend the assignment meeting tomorrow.,normal
Let's discuss the presentation during today's meeting.,normal
Claim your shopping coupon reward today. Limited time offer.,spam
Congratulations! You have won a free holiday package. Claim your prize now.,spam
Your presentation has been reviewed and needs a few changes.,normal
Please check the latest update regarding the project report.,normal
You are a lucky winner! Receive a shopping coupon by claiming now.,spam
Please attend the coursework meeting tomorrow.,normal
Special promotion: win a gift voucher and get bonus cash.,spam
Please attend the research draft meeting tomorrow.,normal
Claim your holiday package reward today. Limited time offer.,spam
The project report deadline has been moved to Monday.,normal
You are a lucky winner! Receive a bonus reward by claiming now.,spam
You are a lucky winner! Receive a holiday package by claiming now.,spam
Please attend the research draft meeting tomorrow.,normal
Your research draft submission was received successfully.,normal
You are a lucky winner! Receive a laptop by claiming now.,spam
You are a lucky winner! Receive a bonus reward by claiming now.,spam
Can you send the meeting notes to me by tomorrow?,normal
The presentation deadline has been moved to the end of the day.,normal
Please submit the internship form before 5 PM.,normal
Your meeting notes submission was received successfully.,normal
FREE holiday package! Click the link to receive your reward.,spam
Let's discuss the assignment during today's meeting.,normal
Your internship form has been reviewed and needs a few changes.,normal
The lab record deadline has been moved to Monday.,normal
I attached the assignment for your review.,normal
I attached the internship form for your review.,normal
The lab record meeting is scheduled for Monday.,normal
You have been chosen to receive a gift voucher. Act now.,spam
FREE gift voucher! Click the link to receive your reward.,spam
Special promotion: win a iPhone and get bonus cash.,spam
URGENT: Your account has been selected for a free bonus reward. Claim now.,spam
Win a cash prize today! Click here to claim your reward.,spam
Special promotion: win a bonus reward and get bonus cash.,spam
The meeting notes meeting is scheduled for Friday.,normal
The internship form meeting is scheduled for tomorrow.,normal
Your prize is waiting. Claim the free cash prize immediately.,spam
Your research draft submission was received successfully.,normal
You are a lucky winner! Receive a cash prize by claiming now.,spam
Your presentation submission was received successfully.,normal
Congratulations! You have won a free bonus reward. Claim your prize now.,spam
Congratulations! You have won a free bonus reward. Claim your prize now.,spam
Please submit the presentation before Monday.,normal
Special promotion: win a shopping coupon and get bonus cash.,spam
I attached the assignment for your review.,normal
The coursework meeting is scheduled for 5 PM.,normal
URGENT: Your account has been selected for a free laptop. Claim now.,spam
Your prize is waiting. Claim the free holiday package immediately.,spam
URGENT: Your account has been selected for a free gift voucher. Claim now.,spam
The internship form deadline has been moved to next week.,normal
Let's discuss the internship form during today's meeting.,normal
Let's discuss the internship form during today's meeting.,normal
URGENT: Your account has been selected for a free bonus reward. Claim now.,spam
Exclusive offer! Get your free holiday package before the offer expires.,spam
Let's discuss the project report during today's meeting.,normal
Claim your gift voucher reward today. Limited time offer.,spam
Special promotion: win a iPhone and get bonus cash.,spam
URGENT: Your account has been selected for a free shopping coupon. Claim now.,spam
Please attend the project report meeting tomorrow.,normal
Win a gift voucher today! Click here to claim your reward.,spam
Can you send the lab record to me by the end of the day?,normal
Your prize is waiting. Claim the free holiday package immediately.,spam
Please attend the project report meeting tomorrow.,normal
Let's discuss the research draft during today's meeting.,normal
FREE holiday package! Click the link to receive your reward.,spam
Your meeting notes has been reviewed and needs a few changes.,normal
Win a iPhone today! Click here to claim your reward.,spam
Let's discuss the coursework during today's meeting.,normal
Win a bonus reward today! Click here to claim your reward.,spam
URGENT: Your account has been selected for a free cash prize. Claim now.,spam
Claim your cash prize reward today. Limited time offer.,spam
Congratulations! You have won a free iPhone. Claim your prize now.,spam
You have been chosen to receive a shopping coupon. Act now.,spam
The project report meeting is scheduled for tomorrow.,normal
You have been chosen to receive a holiday package. Act now.,spam
Win a iPhone today! Click here to claim your reward.,spam
Your presentation submission was received successfully.,normal
Claim your iPhone reward today. Limited time offer.,spam
You have been chosen to receive a cash prize. Act now.,spam
Win a shopping coupon today! Click here to claim your reward.,spam
URGENT: Your account has been selected for a free bonus reward. Claim now.,spam
FREE laptop! Click the link to receive your reward.,spam
The presentation deadline has been moved to Monday.,normal
Win a gift voucher today! Click here to claim your reward.,spam
Can you send the coursework to me by Friday?,normal
Congratulations! You have won a free gift voucher. Claim your prize now.,spam
Your coursework submission was received successfully.,normal
Let's discuss the assignment during today's meeting.,normal
FREE cash prize! Click the link to receive your reward.,spam
Congratulations! You have won a free shopping coupon. Claim your prize now.,spam
Let's discuss the assignment during today's meeting.,normal
Your presentation has been reviewed and needs a few changes.,normal
Exclusive offer! Get your free cash prize before the offer expires.,spam
Win a bonus reward today! Click here to claim your reward.,spam
Your assignment has been reviewed and needs a few changes.,normal
Win a gift voucher today! Click here to claim your reward.,spam
You have been chosen to receive a holiday package. Act now.,spam
Congratulations! You have won a free cash prize. Claim your prize now.,spam
FREE gift voucher! Click the link to receive your reward.,spam
Special promotion: win a laptop and get bonus cash.,spam
Special promotion: win a gift voucher and get bonus cash.,spam
Let's discuss the project report during today's meeting.,normal
URGENT: Your account has been selected for a free cash prize. Claim now.,spam
The coursework deadline has been moved to tomorrow.,normal
Exclusive offer! Get your free gift voucher before the offer expires.,spam
Please attend the lab record meeting tomorrow.,normal
Win a laptop today! Click here to claim your reward.,spam
Let's discuss the research draft during today's meeting.,normal
Win a iPhone today! Click here to claim your reward.,spam
URGENT: Your account has been selected for a free holiday package. Claim now.,spam
Your internship form has been reviewed and needs a few changes.,normal
Exclusive offer! Get your free iPhone before the offer expires.,spam
FREE shopping coupon! Click the link to receive your reward.,spam
Please submit the project report before 5 PM.,normal
Your prize is waiting. Claim the free holiday package immediately.,spam
Your coursework submission was received successfully.,normal
Your presentation has been reviewed and needs a few changes.,normal
Claim your iPhone reward today. Limited time offer.,spam
Please attend the lab record meeting tomorrow.,normal
Your prize is waiting. Claim the free iPhone immediately.,spam
Exclusive offer! Get your free holiday package before the offer expires.,spam
The presentation deadline has been moved to Friday.,normal
Win a holiday package today! Click here to claim your reward.,spam
Win a shopping coupon today! Click here to claim your reward.,spam
Your prize is waiting. Claim the free holiday package immediately.,spam
Your prize is waiting. Claim the free gift voucher immediately.,spam
Your prize is waiting. Claim the free iPhone immediately.,spam
Please check the latest update regarding the research draft.,normal
You are a lucky winner! Receive a gift voucher by claiming now.,spam
Win a laptop today! Click here to claim your reward.,spam
Can you send the meeting notes to me by the end of the day?,normal
