student_id,gender,department,internship,cgpa,projects,python_score,aptitude_score,communication_score,placement
1,Male,CSE,Yes,7.83,8,61,79,71,Yes
2,Female,AI&DS,Yes,7.31,5,93,77,80,Yes
3,Male,IT,No,9.41,5,96,85,76,Yes
4,Male,CSE,No,8.28,3,75,67,87,Yes
5,Male,AI&DS,Yes,6.28,5,84,70,77,Yes
6,Female,CSE,No,7.94,5,81,61,78,No
7,Male,AI&DS,No,7.3,6,100,68,72,Yes
8,Male,IT,No,8.44,4,90,78,75,Yes
9,Male,AI&DS,No,7.21,7,77,82,79,Yes
10,Female,ECE,Yes,7.71,9,67,62,59,Yes
11,Male,IT,Yes,8.18,5,60,83,63,Yes
12,Male,AI&DS,No,8.45,6,80,89,83,Yes
13,Male,AI&DS,No,6.9,7,70,78,78,No
14,Male,IT,No,7.55,5,62,96,74,Yes
15,Female,IT,Yes,7.44,6,71,64,76,Yes
16,Male,IT,Yes,7.31,6,66,58,79,Yes
17,Female,IT,No,9.12,6,97,52,71,Yes
18,Female,AI&DS,No,8.1,4,88,91,68,Yes
19,Female,CSE,No,6.85,6,78,81,78,No
20,Male,AI&DS,No,8.49,7,94,72,66,Yes
21,Female,ECE,No,9.39,9,79,76,80,Yes
22,Male,CSE,Yes,8.57,8,69,59,59,Yes
23,Female,AI&DS,Yes,6.66,11,95,100,86,Yes
24,Female,AI&DS,No,7.44,4,84,75,81,No
25,Female,AI&DS,No,8.75,8,67,74,79,Yes
26,Female,AI&DS,Yes,7.27,6,76,82,86,Yes
27,Female,IT,Yes,8.13,11,68,79,93,Yes
28,Female,CSE,No,8.38,4,63,76,86,Yes
29,Female,ECE,Yes,7.1,3,88,64,58,Yes
30,Female,CSE,Yes,7.76,4,99,79,63,Yes
31,Male,AI&DS,No,5.8,1,63,96,70,No
32,Male,IT,No,7.03,4,84,89,76,Yes
33,Female,IT,No,7.61,4,71,92,81,No
34,Female,CSE,Yes,6.86,6,73,67,69,No
35,Female,IT,No,9.02,6,71,61,78,Yes
36,Male,CSE,Yes,6.73,10,68,71,68,Yes
37,Female,CSE,Yes,7.47,8,79,74,70,Yes
38,Male,CSE,No,7.9,4,69,86,62,Yes
39,Male,AI&DS,No,8.88,3,81,53,67,Yes
40,Male,AI&DS,No,6.72,7,77,91,62,No
41,Male,AI&DS,No,8.67,2,75,71,66,No
42,Male,CSE,No,7.81,10,68,68,87,Yes
43,Female,AI&DS,Yes,7.06,8,72,61,67,Yes
44,Female,CSE,Yes,8.15,4,86,53,100,Yes
45,Female,ECE,Yes,7.95,1,84,83,81,Yes
46,Female,AI&DS,Yes,7.35,9,67,74,78,Yes
47,Female,CSE,No,7.85,5,79,58,67,No
48,Male,IT,Yes,7.51,8,86,57,83,Yes
49,Female,AI&DS,No,7.89,2,60,69,70,Yes
50,Female,AI&DS,No,8.3,4,84,93,77,Yes
51,Male,AI&DS,No,8.99,6,71,70,100,Yes
52,Female,AI&DS,No,6.87,6,84,55,75,No
53,Male,ECE,No,9.4,4,70,70,87,Yes
54,Female,IT,No,6.34,7,58,70,69,No
55,Male,CSE,Yes,7.69,3,60,41,76,No
56,Female,ECE,No,8.24,5,79,72,94,Yes
57,Female,IT,Yes,8.01,6,81,70,70,Yes
58,Male,AI&DS,Yes,7.33,7,68,81,94,Yes
59,Male,ECE,No,7.64,7,85,95,83,Yes
60,Male,CSE,Yes,7.43,3,60,87,70,Yes
61,Male,IT,No,7.36,2,77,70,82,Yes
62,Male,ECE,No,8.44,9,65,60,86,Yes
63,Male,AI&DS,No,8.07,6,71,100,82,Yes
64,Male,AI&DS,Yes,7.28,4,79,74,60,Yes
65,Male,AI&DS,Yes,8.47,9,69,73,69,Yes
66,Female,CSE,No,8.03,6,74,73,74,Yes
67,Female,IT,Yes,8.41,8,89,75,75,Yes
68,Male,ECE,No,8.27,6,72,71,82,Yes
69,Female,AI&DS,No,7.18,10,87,66,78,Yes
70,Female,CSE,No,7.38,10,66,66,63,No
71,Female,CSE,Yes,8.36,5,84,73,80,Yes
72,Female,AI&DS,Yes,8.26,8,94,66,82,Yes
73,Male,AI&DS,No,7.78,7,51,64,82,No
74,Female,AI&DS,Yes,7.89,9,69,74,87,Yes
75,Male,ECE,Yes,8.76,3,84,70,84,Yes
76,Female,AI&DS,No,7.36,7,76,91,81,Yes
77,Female,CSE,No,8.21,8,82,41,75,Yes
78,Female,IT,No,7.65,1,71,86,59,Yes
79,Male,CSE,No,7.64,3,79,88,80,Yes
80,Female,ECE,Yes,8.62,1,76,48,78,Yes
81,Male,ECE,No,8.42,5,91,69,79,Yes
82,Female,AI&DS,No,8.41,7,81,69,63,Yes
83,Male,CSE,Yes,8.78,9,82,56,65,Yes
84,Female,AI&DS,No,7.82,6,73,64,87,Yes
85,Male,AI&DS,No,8.31,9,73,60,76,Yes
86,Male,AI&DS,No,7.57,2,73,94,83,Yes
87,Female,CSE,No,8.04,1,82,84,76,No
88,Male,CSE,No,7.7,5,73,88,76,Yes
89,Female,AI&DS,Yes,7.87,6,81,82,85,Yes
90,Female,AI&DS,Yes,8.25,5,100,59,71,Yes
91,Female,ECE,No,7.19,1,88,67,77,No
92,Female,AI&DS,No,9.37,5,74,79,71,Yes
93,Female,AI&DS,No,7.05,2,91,58,72,No
94,Female,CSE,No,6.89,7,74,82,73,No
95,Female,ECE,No,8.67,6,56,70,78,Yes
96,Female,AI&DS,No,8.39,3,67,69,71,Yes
97,Female,IT,No,8.27,4,57,82,89,Yes
98,Female,IT,No,8.27,3,74,78,67,Yes
99,Female,AI&DS,No,7.79,5,78,69,74,No
100,Male,IT,No,7.13,8,96,87,72,Yes
101,Male,CSE,No,7.86,3,82,60,90,No
102,Female,CSE,Yes,7.29,7,76,80,78,No
103,Female,CSE,Yes,8.53,4,87,80,86,Yes
104,Female,CSE,Yes,7.69,4,54,69,61,No
105,Female,AI&DS,No,7.18,5,81,77,79,No
106,Female,IT,Yes,7.56,3,86,58,85,Yes
107,Female,AI&DS,Yes,8.11,4,62,84,77,Yes
108,Female,AI&DS,No,7.38,3,91,71,87,No
109,Female,AI&DS,Yes,7.18,10,82,67,71,Yes
110,Male,CSE,No,7.98,6,73,86,90,Yes
111,Female,IT,Yes,7.98,4,85,65,99,Yes
112,Male,AI&DS,Yes,7.42,6,100,56,72,Yes
113,Female,CSE,No,7.45,5,80,54,72,Yes
114,Female,AI&DS,Yes,7.97,5,81,80,91,Yes
115,Male,CSE,Yes,6.71,7,73,58,92,No
116,Female,AI&DS,No,6.74,7,69,94,71,No
117,Male,IT,No,7.26,4,87,48,72,No
118,Female,CSE,Yes,7.64,4,69,93,73,Yes
119,Female,ECE,No,8.03,5,79,76,63,Yes
120,Male,AI&DS,Yes,8.91,1,73,72,67,Yes
