sample_id,feature_1,feature_2,target
1,2.206,0.882,0
2,3.054,3.354,0
3,1.545,1.508,0
4,6.175,6.734,1
5,3.399,2.077,0
6,1.854,2.342,0
7,3.514,2.281,0
8,7.914,6.478,1
9,8.206,6.973,1
10,7.777,7.226,1
11,1.446,3.035,0
12,7.968,6.111,1
13,2.253,3.833,0
14,8.327,6.415,1
15,3.607,3.337,0
16,3.571,7.629,1
17,2.287,3.224,0
18,6.703,6.802,1
19,4.364,3.351,0
20,2.097,3.549,0
21,2.96,4.043,0
22,3.147,2.615,0
23,3.905,1.759,0
24,6.575,8.308,1
25,6.444,6.302,1
26,6.942,6.475,1
27,7.09,7.061,1
28,2.557,2.969,0
29,3.925,4.123,0
30,6.229,6.996,1
31,6.966,7.932,1
32,9.631,6.35,1
33,6.576,6.599,1
34,4.322,4.347,0
35,3.527,3.57,0
36,3.055,3.412,0
37,6.203,8.598,1
38,3.611,3.766,0
39,8.659,10.088,1
40,7.708,6.026,1
41,7.551,6.686,1
42,6.444,6.88,1
43,4.684,3.021,0
44,6.292,7.364,1
45,2.249,3.943,0
46,6.023,7.36,1
47,3.79,3.388,0
48,2.938,2.289,0
49,6.543,8.099,1
50,2.736,1.526,0
51,4.346,3.59,0
52,1.398,2.377,0
53,5.299,9.645,1
54,2.91,3.27,0
55,6.952,8.05,1
56,6.44,6.775,1
57,5.861,7.793,1
58,3.706,1.662,0
59,6.936,7.708,1
60,3.202,4.755,0
61,3.627,2.352,0
62,8.364,5.279,1
63,4.616,7.345,1
64,5.983,8.981,1
65,1.538,3.285,0
66,1.427,2.585,0
67,4.042,4.287,0
68,4.412,7.524,1
69,7.502,7.26,1
70,7.237,7.493,1
71,7.138,6.121,1
72,1.911,4.828,0
73,1.837,3.559,0
74,9.297,5.272,1
75,2.53,2.518,0
76,4.158,2.513,0
77,1.267,3.729,0
78,6.529,6.61,1
79,6.084,7.414,1
80,2.847,2.475,0
81,2.327,3.214,0
82,7.867,7.547,1
83,3.308,3.79,0
84,6.765,7.214,1
85,2.551,2.877,0
86,5.748,8.072,1
87,2.407,3.473,0
88,4.23,8.451,1
89,6.483,8.172,1
90,7.349,7.173,1
91,2.75,1.529,0
92,7.836,7.735,1
93,3.276,2.932,0
94,7.907,6.407,1
95,1.68,1.327,0
96,7.654,6.197,1
97,5.455,7.762,1
98,3.229,3.751,0
99,2.123,2.414,0
100,3.765,1.666,0
101,7.258,7.554,1
102,2.612,1.737,0
103,5.6,8.21,1
104,5.981,7.677,1
105,2.879,3.623,0
106,3.416,3.984,0
107,7.699,6.131,1
108,3.046,3.913,0
109,3.898,4.262,0
110,3.522,1.655,0
111,5.067,4.766,0
112,6.311,6.327,1
113,6.739,7.821,1
114,6.854,6.787,1
115,5.13,4.274,0
116,2.71,4.636,0
117,5.324,8.892,1
118,7.756,4.718,1
119,3.944,4.488,0
120,9.481,7.034,1
121,4.167,8.457,1
122,7.791,6.196,1
123,3.423,7.852,1
124,8.164,6.806,1
125,8.029,6.412,1
126,6.575,7.209,1
127,4.118,3.459,0
128,6.343,8.316,1
129,8.891,6.468,1
130,6.162,7.924,1
131,8.254,6.511,1
132,7.512,8.286,1
133,4.001,3.54,0
134,1.163,3.34,0
135,3.548,2.397,0
136,4.99,3.38,0
137,9.916,3.336,1
138,4.054,3.599,0
139,7.389,5.254,1
140,3.646,4.363,0
141,7.563,5.824,1
142,7.036,8.294,1
143,6.215,6.857,1
144,8.126,7.037,1
145,3.772,2.851,0
146,2.763,1.921,0
147,0.764,1.544,0
148,2.153,3.26,0
149,2.174,1.447,0
150,2.62,3.063,0
151,6.497,6.38,1
152,5.389,5.91,0
153,7.95,5.101,1
154,2.292,2.688,0
155,4.625,4.479,0
156,4.573,7.612,1
157,6.45,6.565,1
158,7.574,5.86,1
159,3.917,3.461,0
160,5.33,6.534,1
161,7.26,7.361,1
162,1.693,4.377,0
163,7.71,8.587,1
164,0.893,1.351,0
165,3.647,2.109,0
166,3.113,2.859,0
167,8.106,5.673,1
168,8.994,4.698,1
169,5.046,9.394,1
170,9.088,7.671,1
171,5.278,7.769,1
172,3.058,2.745,0
173,4.627,4.6,0
174,5.641,7.479,1
175,3.903,4.275,0
176,2.571,3.651,0
177,4.788,3.331,0
178,8.137,7.307,1
179,0.923,1.981,0
180,7.643,6.726,1
181,4.727,4.069,0
182,2.538,2.459,0
183,7.572,6.611,1
184,3.047,2.312,0
185,3.643,2.789,0
186,6.338,6.835,1
187,1.761,2.346,0
188,6.687,7.998,1
189,2.969,3.385,0
190,4.946,3.954,0
191,7.32,8.516,1
192,3.369,3.081,0
193,6.435,8.708,1
194,6.555,5.921,1
195,4.671,2.905,0
196,3.731,3.159,0
197,2.762,2.718,0
198,6.204,8.033,1
199,5.223,7.68,1
200,3.868,3.91,0
