student_id,name,age,department,python_score,numpy_score,pandas_score,ml_score,attendance,projects_completed,github_commits,linkedin_posts,internship_status,study_hours,cgpa,placement_ready
1,Student_1,18,CSE,80,85,83,86,79,4,17,1,No,4.1,8.4,Yes
2,Student_2,20,IT,69,66,68,77,66,6,45,3,Yes,1.6,8.0,No
3,Student_3,20,ECE,84,90,96,94,92,10,51,3,Yes,4.7,9.7,Yes
4,Student_4,21,AI&DS,77,72,71,75,81,1,10,1,No,1.9,9.7,Yes
5,Student_5,18,CSE,73,77,80,77,77,2,11,3,No,1.8,9.1,Yes
6,Student_6,18,IT,89,89,87,100,88,5,27,3,No,4.9,8.7,Yes
7,Student_7,18,ECE,84,86,91,91,75,14,86,3,Yes,3.9,8.8,Yes
8,Student_8,21,AI&DS,69,75,74,75,82,2,12,5,No,2.4,7.2,No
9,Student_9,19,CSE,87,83,81,82,80,8,59,6,Yes,3.1,7.7,No
10,Student_10,22,IT,78,84,78,77,74,5,34,1,No,3.5,7.8,No
11,Student_11,21,ECE,100,98,100,100,72,8,40,4,Yes,5.5,7.9,No
12,Student_12,19,AI&DS,70,72,78,67,97,3,20,3,No,1.5,7.0,No
13,Student_13,19,CSE,93,87,90,97,96,0,2,4,No,3.7,7.3,No
14,Student_14,19,IT,89,84,89,100,69,4,21,7,No,5.0,9.6,No
15,Student_15,19,ECE,83,80,82,80,84,12,63,7,Yes,2.6,6.9,No
16,Student_16,18,AI&DS,64,67,69,64,79,0,5,0,No,1.8,7.3,No
17,Student_17,21,CSE,88,90,87,96,96,6,43,7,Yes,4.9,7.3,No
18,Student_18,18,IT,90,85,80,98,87,13,81,0,Yes,4.7,8.7,Yes
19,Student_19,20,ECE,73,79,74,69,77,6,45,2,No,1.7,7.9,No
20,Student_20,19,AI&DS,77,78,84,93,71,1,7,1,No,3.4,9.6,No
21,Student_21,21,CSE,82,83,80,83,68,5,30,6,No,2.2,7.4,No
22,Student_22,18,IT,85,81,78,82,78,1,12,0,No,2.6,9.0,Yes
23,Student_23,19,ECE,78,80,82,73,68,2,8,1,No,1.7,8.7,No
24,Student_24,19,AI&DS,80,83,86,78,70,13,95,5,Yes,3.1,9.6,No
25,Student_25,22,CSE,91,88,86,98,73,9,56,1,Yes,4.2,6.5,No
26,Student_26,20,IT,93,88,90,100,97,8,34,1,Yes,5.5,9.4,Yes
27,Student_27,19,ECE,84,86,91,88,98,0,2,1,No,2.6,9.6,Yes
28,Student_28,20,AI&DS,73,78,80,73,82,9,64,5,No,2.6,7.2,No
29,Student_29,20,CSE,84,78,73,94,92,8,24,5,Yes,3.5,9.0,Yes
30,Student_30,20,IT,80,82,87,86,65,3,14,2,No,2.1,8.3,No
31,Student_31,18,ECE,82,82,78,78,84,11,35,3,Yes,3.8,8.8,Yes
32,Student_32,20,AI&DS,85,88,93,85,80,5,23,0,No,2.9,7.1,No
33,Student_33,19,CSE,97,100,100,100,82,5,18,0,No,4.6,9.3,Yes
34,Student_34,18,IT,82,81,79,78,79,0,3,5,No,2.3,7.4,No
35,Student_35,20,ECE,97,96,100,100,90,10,30,4,Yes,5.4,7.1,No
36,Student_36,21,AI&DS,76,75,80,77,92,3,22,3,No,1.7,7.3,No
37,Student_37,21,CSE,68,67,67,58,86,10,35,4,No,1.5,8.2,No
38,Student_38,18,IT,80,82,78,78,91,12,52,4,Yes,2.8,7.8,No
39,Student_39,19,ECE,76,76,82,89,85,14,87,3,Yes,2.7,8.2,Yes
40,Student_40,19,AI&DS,89,91,95,100,86,2,13,4,No,4.1,7.2,No
41,Student_41,21,CSE,67,64,65,76,69,14,89,3,Yes,2.1,8.9,No
42,Student_42,19,IT,83,79,83,78,71,13,53,7,Yes,3.5,6.7,No
43,Student_43,22,ECE,91,92,88,100,98,10,64,6,Yes,5.2,9.2,Yes
44,Student_44,20,AI&DS,80,85,86,91,81,7,39,7,Yes,3.3,8.6,Yes
45,Student_45,19,CSE,84,81,79,86,85,2,9,3,No,3.3,7.8,No
46,Student_46,21,IT,84,84,84,92,99,14,84,3,Yes,4.3,9.2,Yes
47,Student_47,21,ECE,87,93,96,100,95,0,2,6,No,5.1,9.3,Yes
48,Student_48,21,AI&DS,84,85,82,87,92,15,48,5,Yes,3.7,8.7,Yes
49,Student_49,21,CSE,96,92,95,100,66,12,88,0,Yes,4.4,6.8,No
50,Student_50,21,IT,80,76,70,73,89,10,43,5,No,2.0,7.6,No
51,Student_51,18,ECE,83,81,76,86,66,1,6,1,No,2.6,9.1,No
52,Student_52,19,AI&DS,90,87,81,100,74,7,31,1,Yes,4.5,8.4,No
53,Student_53,22,CSE,83,89,88,85,72,5,25,0,No,3.4,9.6,No
54,Student_54,22,IT,93,93,98,98,69,7,26,4,Yes,4.2,9.3,No
55,Student_55,21,ECE,85,84,86,98,88,2,19,5,No,4.7,6.5,No
56,Student_56,22,AI&DS,88,88,87,100,94,4,25,4,No,4.8,8.5,Yes
57,Student_57,19,CSE,98,98,100,100,82,10,40,4,Yes,4.6,9.4,Yes
58,Student_58,20,IT,95,94,88,100,85,5,31,5,No,4.5,9.1,Yes
59,Student_59,19,ECE,78,80,74,84,77,2,13,6,No,2.6,8.1,Yes
60,Student_60,22,AI&DS,97,98,100,95,70,9,39,3,Yes,4.3,7.5,No
61,Student_61,18,CSE,89,88,88,98,86,11,68,4,Yes,3.0,7.3,No
62,Student_62,22,IT,92,87,92,100,76,6,29,7,Yes,4.4,7.4,No
63,Student_63,22,ECE,100,100,98,100,77,9,38,2,Yes,5.4,7.5,No
64,Student_64,21,AI&DS,67,61,63,65,73,15,45,4,No,2.0,8.0,No
65,Student_65,22,CSE,73,71,72,69,69,12,72,0,No,2.9,7.0,No
66,Student_66,20,IT,91,88,83,100,91,7,52,7,Yes,5.3,9.5,Yes
67,Student_67,18,ECE,99,97,100,100,68,3,17,3,No,4.9,7.4,No
68,Student_68,19,AI&DS,71,73,68,65,65,13,83,7,No,2.1,7.5,No
69,Student_69,22,CSE,79,84,85,76,79,8,61,3,Yes,2.7,7.9,No
70,Student_70,21,IT,72,70,66,63,68,5,29,4,No,2.4,7.9,No
71,Student_71,20,ECE,94,92,94,100,96,14,46,0,Yes,4.3,9.4,Yes
72,Student_72,21,AI&DS,79,74,71,91,66,8,56,2,Yes,3.9,8.1,No
73,Student_73,18,CSE,93,96,96,100,96,2,14,6,No,5.2,7.6,No
74,Student_74,20,IT,96,96,100,100,83,12,84,7,Yes,4.9,6.8,No
75,Student_75,21,ECE,83,85,79,91,94,13,40,5,Yes,2.8,8.6,Yes
76,Student_76,22,AI&DS,81,78,76,93,73,9,59,7,Yes,4.0,6.9,No
77,Student_77,19,CSE,89,87,89,88,91,2,8,7,No,4.7,9.6,Yes
78,Student_78,21,IT,85,87,92,91,91,15,91,7,Yes,3.5,8.3,Yes
79,Student_79,20,ECE,84,89,85,77,82,13,69,4,Yes,2.3,9.2,Yes
80,Student_80,20,AI&DS,97,93,94,100,95,11,59,6,Yes,4.4,8.0,Yes
81,Student_81,21,CSE,94,97,97,100,91,1,10,7,No,5.0,8.8,Yes
82,Student_82,21,IT,77,78,72,73,97,10,33,1,No,3.0,8.2,Yes
83,Student_83,20,ECE,67,67,71,62,69,15,77,6,No,1.6,8.6,No
84,Student_84,20,AI&DS,98,97,100,100,99,1,7,3,No,4.9,8.6,Yes
85,Student_85,18,CSE,92,92,87,100,71,14,61,4,Yes,5.5,9.5,No
86,Student_86,19,IT,72,70,69,75,92,4,20,6,No,2.8,8.4,Yes
87,Student_87,20,ECE,69,72,72,81,80,15,106,3,Yes,2.2,8.0,Yes
88,Student_88,20,AI&DS,75,81,82,82,99,5,18,5,No,3.3,9.8,Yes
89,Student_89,22,CSE,93,98,96,100,84,6,39,1,Yes,4.1,7.3,No
90,Student_90,21,IT,81,86,84,75,90,8,28,0,Yes,2.9,9.5,Yes
91,Student_91,19,ECE,94,100,100,100,87,7,32,4,Yes,4.8,8.7,Yes
92,Student_92,21,AI&DS,81,79,85,94,67,11,44,4,Yes,4.0,7.6,No
93,Student_93,20,CSE,71,77,79,77,98,8,34,7,Yes,2.2,9.7,Yes
94,Student_94,22,IT,93,99,94,100,69,4,21,6,No,4.5,9.7,No
95,Student_95,20,ECE,85,79,77,91,72,14,75,4,Yes,3.0,8.4,No
96,Student_96,20,AI&DS,72,73,67,79,85,7,26,7,Yes,1.9,9.5,Yes
97,Student_97,19,CSE,83,79,73,77,84,15,45,3,Yes,4.1,9.4,Yes
98,Student_98,22,IT,84,88,93,99,91,4,29,1,No,3.1,9.3,Yes
99,Student_99,20,ECE,81,75,80,85,78,14,85,5,Yes,3.1,6.8,No
100,Student_100,22,AI&DS,88,82,82,89,77,3,18,3,No,3.7,8.6,Yes
