student_id,gender,department,cgpa,internship,projects,python_score,aptitude_score,communication_score,placement
1,Male,CSE,8.7,Yes,5,91,88,84,Yes
2,Female,AI&DS,9.1,Yes,6,94,92,89,Yes
3,Male,ECE,7.2,No,2,72,70,68,No
4,Female,IT,8.4,Yes,4,87,85,82,Yes
5,Male,MECH,6.8,No,1,64,61,65,No
6,Female,CSE,8.9,Yes,5,93,90,91,Yes
7,Male,AI&DS,7.8,No,3,79,76,74,Yes
8,Female,ECE,7.1,No,2,68,73,77,No
9,Male,IT,8.2,Yes,4,85,82,79,Yes
10,Female,CSE,9.3,Yes,7,97,95,93,Yes
11,Male,MECH,6.5,No,1,59,63,60,No
12,Female,AI&DS,8.0,Yes,3,82,79,85,Yes
13,Male,ECE,7.4,No,2,74,69,70,No
14,Female,IT,8.8,Yes,5,92,89,88,Yes
15,Male,CSE,7.6,No,3,77,81,73,Yes
16,Female,MECH,6.9,No,1,65,67,72,No
17,Male,AI&DS,8.6,Yes,5,90,87,81,Yes
18,Female,ECE,7.0,No,2,70,68,75,No
19,Male,IT,8.3,Yes,4,86,84,80,Yes
20,Female,CSE,9.0,Yes,6,95,91,94,Yes
21,Male,MECH,7.3,No,2,71,72,69,No
22,Female,AI&DS,8.5,Yes,4,89,86,90,Yes
23,Male,ECE,6.7,No,1,63,65,67,No
24,Female,IT,8.1,Yes,3,84,80,86,Yes
25,Male,CSE,7.9,No,3,81,78,76,Yes
26,Female,MECH,6.4,No,1,58,62,64,No
27,Male,AI&DS,8.8,Yes,6,92,94,87,Yes
28,Female,ECE,7.5,No,2,76,74,79,No
29,Male,IT,8.6,Yes,5,90,88,83,Yes
30,Female,CSE,9.2,Yes,7,96,93,95,Yes
31,Male,MECH,6.9,No,2,67,64,66,No
32,Female,AI&DS,8.3,Yes,4,87,83,88,Yes
33,Male,ECE,7.7,No,3,78,75,71,Yes
34,Female,IT,8.7,Yes,5,91,90,89,Yes
35,Male,CSE,7.0,No,2,69,71,68,No
36,Female,MECH,7.2,No,2,73,70,76,No
37,Male,AI&DS,8.9,Yes,6,94,91,86,Yes
38,Female,ECE,7.3,No,2,72,70,74,No
39,Male,IT,8.0,Yes,3,83,79,78,Yes
40,Female,CSE,8.6,Yes,5,90,87,92,Yes
