text,label
"Team update You are selected for a special bonus offer, while the offer lasts — confirm your eligibility #120",spam
"Quick update Exclusive offer receive your bonus gift today, right now — claim it now #72",spam
"Notice Urgent you have been chosen for a cash reward, before the deadline — activate the reward #436",spam
"Action required Exclusive offer receive your bonus gift today, while the offer lasts — claim it now #146",spam
"Team update Please review the updated project document before submission, tomorrow — for the final submission #78",normal
"Please note You are selected for a special bonus offer, before the deadline — verify your entry #291",spam
"Quick update Get free vouchers when you complete this offer, for a limited period — complete the form #448",spam
"Please note Please bring your notebook to the laboratory session, after class — for the team discussion #232",normal
"Please note Congratulations you have won a free cash prize today, for a limited period — collect your prize #269",spam
"Important notice Claim your exclusive reward before it expires, during this promotion — complete the form #88",spam
"Hello Your assignment feedback is available on the portal, this week — for the project #356",normal
"Quick update Claim your exclusive reward before it expires, during this promotion — verify your entry #480",spam
"Please note Please bring your notebook to the laboratory session, this afternoon — for the final submission #347",normal
"Reminder Your account qualifies for a limited time reward, right now — redeem the offer #336",spam
"Important notice Please submit the project report before Friday, before submission — for the laboratory #68",normal
"Please note Your account qualifies for a limited time reward, for a limited period — collect your prize #349",spam
"Action required You are selected for a special bonus offer, within 24 hours — secure your bonus #245",spam
"Important notice You have won a surprise prize click to claim, before midnight — confirm your eligibility #74",spam
"Dear student The exam timetable has been released by the department, tomorrow — for the project #421",normal
"Please note Urgent you have been chosen for a cash reward, this week — confirm your eligibility #371",spam
"Team update You have won a surprise prize click to claim, before the deadline — finish the registration #273",spam
"Good morning Please review the updated project document before submission, during the workshop — for the class activity #220",normal
"Good morning The workshop registration closes at the end of the week, this week — for the department review #324",normal
"Important notice Please submit the project report before Friday, before the meeting — for the project #291",normal
"Quick update The team meeting will begin at ten in the morning, today — for the upcoming exam #221",normal
"Dear student Exclusive offer receive your bonus gift today, while the offer lasts — complete the form #97",spam
"Quick update Your presentation slides need to be submitted today, during the next session — for the final submission #26",normal
"Hello The department meeting is scheduled for tomorrow morning, during the next session — for the department review #12",normal
"Reminder Your assignment feedback is available on the portal, this afternoon — for the laboratory #425",normal
"Please note Please submit the project report before Friday, this week — for the final submission #135",normal
"Action required Urgent you have been chosen for a cash reward, before the deadline — verify your entry #209",spam
"Team update Can we discuss the project requirements after class, before submission — for the upcoming exam #272",normal
"Dear student Please review the updated project document before submission, before submission — for the department review #254",normal
"Dear student The team meeting will begin at ten in the morning, before submission — for the department review #186",normal
"Hello Get free vouchers when you complete this offer, while supplies last — secure your bonus #49",spam
"Important notice Please bring your notebook to the laboratory session, during the workshop — for the laboratory #134",normal
"Dear student The workshop registration closes at the end of the week, before Friday — for the laboratory #164",normal
"Important notice Win a brand new smartphone by entering now, while the offer lasts — verify your entry #16",spam
"Dear student You are selected for a special bonus offer, this week — verify your entry #409",spam
"Quick update Claim your lottery winnings immediately, right now — verify your entry #44",spam
"Please note Please submit the project report before Friday, this week — for the laboratory #82",normal
"Quick update Congratulations you have won a free cash prize today, while the offer lasts — activate the reward #243",spam
"Quick update Win a brand new smartphone by entering now, while the offer lasts — follow the instructions #6",spam
"Notice Exclusive offer receive your bonus gift today, while the offer lasts — follow the instructions #45",spam
"Important notice Congratulations you have won a free cash prize today, during this promotion — verify your entry #33",spam
"Quick update You are selected for a special bonus offer, within 24 hours — collect your prize #460",spam
"Good morning Can we discuss the project requirements after class, this afternoon — for the laboratory #269",normal
"Action required Can we discuss the project requirements after class, after class — for the meeting #113",normal
"Team update Get free vouchers when you complete this offer, within 24 hours — secure your bonus #90",spam
"Action required Win a brand new smartphone by entering now, before the deadline — follow the instructions #307",spam
"Please note Please bring your notebook to the laboratory session, before submission — for the team discussion #51",normal
"Action required Can we discuss the project requirements after class, this week — for the assignment #316",normal
"Reminder Can we discuss the project requirements after class, tomorrow — for the final submission #223",normal
"Notice Please review the updated project document before submission, this week — for the upcoming exam #183",normal
"Quick update You have won a surprise prize click to claim, today — collect your prize #70",spam
"Action required Claim your lottery winnings immediately, within 24 hours — follow the instructions #139",spam
"Reminder The workshop registration closes at the end of the week, this afternoon — for the final submission #93",normal
"Dear student The workshop registration closes at the end of the week, this week — for the meeting #199",normal
"Good morning Your assignment feedback is available on the portal, during the workshop — for the team discussion #125",normal
"Notice Please submit the project report before Friday, this week — for the upcoming exam #224",normal
"Good morning The exam timetable has been released by the department, tomorrow — for the class activity #128",normal
"Quick update Please review the updated project document before submission, during the next session — for the upcoming exam #165",normal
"Hello You have won a surprise prize click to claim, within 24 hours — finish the registration #168",spam
"Dear student The department meeting is scheduled for tomorrow morning, this afternoon — for the meeting #192",normal
"Action required Claim your lottery winnings immediately, today — activate the reward #187",spam
"Action required The workshop registration closes at the end of the week, tomorrow — for the class activity #74",normal
"Quick update The team meeting will begin at ten in the morning, this week — for the laboratory #112",normal
"Notice The exam timetable has been released by the department, before submission — for the assignment #250",normal
"Dear student Claim your exclusive reward before it expires, within 24 hours — activate the reward #167",spam
"Please note Please review the updated project document before submission, before submission — for the upcoming exam #35",normal
"Hello Get free vouchers when you complete this offer, right now — verify your entry #319",spam
"Important notice Get free vouchers when you complete this offer, within 24 hours — confirm your eligibility #34",spam
"Important notice You have won a surprise prize click to claim, before the deadline — confirm your eligibility #130",spam
"Action required Claim your exclusive reward before it expires, today — verify your entry #450",spam
"Team update The workshop registration closes at the end of the week, this week — for the presentation #123",normal
"Action required The team meeting will begin at ten in the morning, tomorrow — for the final submission #281",normal
"Team update Get free vouchers when you complete this offer, before the deadline — collect your prize #158",spam
"Dear student Please submit the project report before Friday, today — for the meeting #333",normal
"Important notice Urgent you have been chosen for a cash reward, before the deadline — redeem the offer #326",spam
"Hello Can we discuss the project requirements after class, this week — for the team discussion #118",normal
"Reminder The workshop registration closes at the end of the week, this afternoon — for the upcoming exam #415",normal
"Important notice Get free vouchers when you complete this offer, during this promotion — secure your bonus #442",spam
"Please note The workshop registration closes at the end of the week, during the next session — for the team discussion #3",normal
"Quick update Urgent you have been chosen for a cash reward, today — secure your bonus #236",spam
"Notice Your assignment feedback is available on the portal, after class — for the final submission #423",normal
"Please note Please review the updated project document before submission, today — for the final submission #39",normal
"Quick update Your account qualifies for a limited time reward, this week — redeem the offer #295",spam
"Important notice Your account qualifies for a limited time reward, right now — verify your entry #87",spam
"Hello Please submit the project report before Friday, during the workshop — for the presentation #161",normal
"Please note Your assignment feedback is available on the portal, before submission — for the project #374",normal
"Dear student Exclusive offer receive your bonus gift today, during this promotion — activate the reward #36",spam
"Hello Your assignment feedback is available on the portal, this week — for the presentation #296",normal
"Important notice Your account qualifies for a limited time reward, today — follow the instructions #435",spam
"Hello Urgent you have been chosen for a cash reward, while the offer lasts — secure your bonus #426",spam
"Reminder Win a brand new smartphone by entering now, while supplies last — redeem the offer #392",spam
"Action required Your account qualifies for a limited time reward, while supplies last — confirm your eligibility #462",spam
"Quick update Exclusive offer receive your bonus gift today, during this promotion — claim it now #443",spam
"Team update Can we discuss the project requirements after class, during the next session — for the class activity #52",normal
"Notice Congratulations you have won a free cash prize today, for a limited period — complete the form #287",spam
"Reminder Your account qualifies for a limited time reward, within 24 hours — finish the registration #183",spam
"Important notice Get free vouchers when you complete this offer, before the deadline — activate the reward #292",spam
"Please note Congratulations you have won a free cash prize today, before the deadline — activate the reward #203",spam
"Notice You have won a surprise prize click to claim, before midnight — secure your bonus #208",spam
"Hello Win a brand new smartphone by entering now, before midnight — claim it now #451",spam
"Notice Your presentation slides need to be submitted today, today — for the upcoming exam #258",normal
"Quick update Please review the updated project document before submission, before the meeting — for the meeting #444",normal
"Team update Congratulations you have won a free cash prize today, within 24 hours — verify your entry #216",spam
"Hello The exam timetable has been released by the department, before the meeting — for the presentation #270",normal
